1,Women's Pennant C,26978460,Doncaster Hockey Centre,DON,Doncaster Hockey Club,Mornington Peninsula Hockey Club,1,2,Away Win,13,13,
1,Men's Metro B East,26978820,Doncaster Hockey Centre,DON,Doncaster Hockey Club,Camberwell Hockey Club,5,0,Home Win,16,16,
1,Women's Metro B East,26978730,Doncaster Hockey Centre,DON,Doncaster Hockey Club,Waverley Hockey Club,0,0,Draw,12,12,
1,Men's Pennant E,26978550,The Knox School,KNX,Knox Hockey Club,Mentone Hockey Club,2,8,Away Win,14,15,
1,Women's Pennant D,26978640,The Knox School,KNX,Knox Hockey Club,Doncaster Hockey Club,2,3,Away Win,14,13,
1,Men's Metro B South East,26978730,The Knox School,KNX,Knox Hockey Club,Old Carey Hockey Club,3,2,Home Win,14,11,
1,Women's Metro B East,26978820,The Knox School,KNX,Knox Hockey Club,Camberwell Hockey Club,7,0,Home Win,13,13,
1,GAME Clothing Women's Premier League,26978640,Southern United Hockey Club,MBN,Southern United Hockey Club,MCC Hockey Section,7,0,Home Win,14,14,
1,GAME Clothing Men's Premier League,26978730,Southern United Hockey Club,MBN,Southern United Hockey Club,MCC Hockey Section,3,0,Home Win,16,15,
1,GAME Clothing Women's Premier League Reserves,26978550,Southern United Hockey Club,MBN,Southern United Hockey Club,MCC Hockey Section,3,0,Home Win,14,13,
1,Men's Metro B South East,26978460,Monash University,MON,Monash University Hockey Club,Maccabi Hockey Club,0,2,Away Win,12,13,
1,Women's Metro A,26978550,Monash University,MON,Monash University Hockey Club,Croydon Ranges Hockey Club,3,2,Home Win,15,11,
1,Women's Metro B South,26978640,Monash University,MON,Monash University Hockey Club,Maccabi Hockey Club,0,2,Away Win,15,15,
1,Men's Pennant B,26978640,Hawthorn Malvern Hockey Centre,H-1,Toorak East Malvern Hockey Club,Essendon Hockey,2,3,Away Win,14,13,
1,Men's Pennant C,26978550,Hawthorn Malvern Hockey Centre,H-1,Toorak East Malvern Hockey Club,Greensborough Hockey Club,6,0,Home Win,13,11,
1,Women's Pennant A,26978730,Hawthorn Malvern Hockey Centre,H-1,Toorak East Malvern Hockey Club,Doncaster Hockey Club,4,1,Home Win,14,13,
1,Women's Pennant B,26978820,Hawthorn Malvern Hockey Centre,H-1,Toorak East Malvern Hockey Club,Hawthorn Hockey Club,3,0,Home Win,13,13,
1,Women's Pennant F,26978640,Hawthorn Malvern Hockey Centre,H-2,Toorak East Malvern Hockey Club,Greensborough Hockey Club,7,0,Home Win,15,12,
1,Men's Metro B South East,26978460,Hawthorn Malvern Hockey Centre,H-2,Old East Malvern Hockey Club,MCC Hockey Section,0,8,Away Win,,15,
1,Men's Metro B South East,26978550,Hawthorn Malvern Hockey Centre,H-2,Toorak East Malvern Hockey Club,Waverley Hockey Club,4,1,Home Win,13,15,
1,Women's Metro A,26978730,Hawthorn Malvern Hockey Centre,H-2,Toorak East Malvern Hockey Club,Frankston Hockey Club,2,2,Draw,14,12,
1,Men's Vic League 3,26978640,RMIT Bundoora,BUN,RMIT Hockey Club,St. Bernard's Hockey Club,1,2,Away Win,14,16,
1,Women's Pennant F,26978550,RMIT Bundoora,BUN,RMIT Hockey Club,Yarra Valley Hockey Club,1,1,Draw,13,13,
1,Men's Metro B North West,26978550,Hume Hockey Centre,HUM,Hume Hockey Club,Brunswick Hockey Club,5,0,Home Win,,,
1,Women's Metro B North West,26978640,Hume Hockey Centre,HUM,Hume Hockey Club,Sunshine Hockey Club,0,1,Away Win,13,12,
1,Men's Pennant F,26978730,Melbourne University Hockey Ground,MUH,Melbourne University Hockey Club,Camberwell Hockey Club,1,1,Draw,16,14,
1,Women's Pennant B,26978460,Melbourne University Hockey Ground,MUH,Melbourne University Hockey Club,Powerhouse & St Kilda Hockey Club,2,0,Home Win,16,14,
1,Women's Pennant E,26978640,Melbourne University Hockey Ground,MUH,Melbourne University Hockey Club,Footscray Hockey Club,5,0,Home Win,14,14,
1,Women's Metro A,26978820,Melbourne University Hockey Ground,MUH,Melbourne University Hockey Club,Brunswick Hockey Club,1,1,Draw,16,14,
1,Men's Pennant G,26978730,Elwood,ELW,Maccabi Hockey Club,Melton Hockey Club,3,7,Away Win,11,7,
1,Men's Metro C,26978640,Elwood,ELW,Melbourne Razorbacks Hockey Club,Old Carey Hockey Club,10,1,Home Win,13,11,
2,GAME Clothing Men's Premier League Reserves,26978430,Essendon Hockey Centre,ESS2,Essendon Hockey,Doncaster Hockey Club,2,3,Away Win,15,16,
2,GAME Clothing Men's Premier League Reserves,26978835,Elgar Park,ELG,KBH Brumbies Hockey Club,Melbourne University Hockey Club,3,0,Home Win,15,14,
2,Men's Pennant C,26978460,Hawthorn Malvern Hockey Centre,H-1,Hawthorn Hockey Club,Camberwell Hockey Club,0,6,Away Win,12,15,
1,Men's Midweek Open A,26980500,Essendon Hockey Centre,Pitch 1,La Trobe University Hockey Club,Werribee Hockey Club,1,4,Away Win,14,14,
1,Men's Midweek Open CCW,26980410,Essendon Hockey Centre,ESS1,Essendon Hockey,Greensborough,1,0,Home Win,11,15,
1,Men's Masters 45+ A,26980470,Essendon Hockey Centre,ESS1,withdrawn,Camberwell,0,6,Away Win,12,13,
1,Men's Midweek Open B,26980440,Elgar Park,ELG,KBH Brumbies,TEM,1,4,Away Win,14,13,
1,Men's Masters 45+ B,26980380,Elgar Park,ELG,KBH Brumbies,TEM,1,3,Away Win,11,12,
1,Men's Masters 45+ CNW,26980500,Elgar Park,ELG,KBH Brumbies,Camberwell,0,1,Away Win,13,13,
1,Men's Masters 45+ A,26980500,Greensborough Hockey Centre,GRN1,Greensborough,MCC,8,3,Home Win,12,13,
1,Men's Masters 45+ CNW,26980440,Greensborough Hockey Centre,GRN1,Greensborough,Melton Hockey Club,3,0,Home Win,14,9,
1,Men's Masters 45+ CNW,26980470,Footscray Hockey Club,ASF,Footscray,Yarra Valley,1,1,Draw,15,12,
1,Men's Midweek Open A,26980440,Hedley Hull Field,HHF,Waverley,Monash University,3,0,Home Win,12,14,
1,Men's Midweek Open CSE,26980380,Hedley Hull Field,HHF,Waverley,ECHO,1,5,Away Win,13,12,
1,Men's Masters 45+ B,26980380,Mentone Grammar Playing Fields,MNT,Mentone,Frankston,2,2,Draw,14,13,
1,Men's Masters 45+ D,26980500,Mentone Grammar Playing Fields,MNT,Mentone,MCC,0,0,Draw,14,11,
1,Men's Masters 45+ D,26980440,Melbourne High School,MHS,MHSOB,Yarra Valley,0,3,Away Win,15,14,
1,Men's Midweek Open CSE,26980380,Albert Park,APK,Maccabi,Collegians-X,1,0,Home Win,15,14,
1,Men's Masters 45+ D,26980440,Albert Park,APK,PHSTK,TEM,1,0,Home Win,13,14,
1,Men's Midweek Open CCW,26980440,Brunswick Secondary College,BRU,Brunswick,Craigieburn Falcons,0,4,Away Win,15,15,
1,Men's Masters 45+ B,26980470,Camberwell Hockey Club,CAM,Camberwell,Southern United,1,0,Home Win,13,11,
1,Men's Midweek Open CSE,26980440,Dandenong Hockey Centre,DAN,Mornington Peninsula,Old Xavs,0,3,Away Win,13,13,
1,Men's Masters 45+ CSE,26980380,Dandenong Hockey Centre,DAN,Southern Knights,Mentone,1,1,Draw,15,14,
1,Men's Masters 45+ A,26980440,Doncaster Hockey Centre,DON,Doncaster,Melbourne University Hockey Club,4,0,Home Win,12,12,
1,Men's Masters 45+ CSE,26980500,Doncaster Hockey Centre,DON,Doncaster,Frankston,3,0,Home Win,16,15,
1,Men's Masters 45+ D,26980380,Doncaster Hockey Centre,DON,Doncaster,Camberwell Blue,1,3,Away Win,12,14,
1,Men's Masters 45+ CSE,26980410,The Knox School,KNX,Knox Hockey Club,Casey Hockey Club,3,0,Home Win,12,13,
1,Men's Masters 45+ D,26980470,The Knox School,KNX,Knox Hockey Club,Southern United,2,1,Home Win,12,12,
1,Men's Midweek Open CSE,26980395,Southern United Hockey Club,MBN,Southern United,Glen Eira Hockey Club,2,0,Home Win,12,12,
1,Men's Midweek Open B,26980440,Monash University,MON,Melbourne Sikhs United HC,PHSTK,4,2,Home Win,11,12,
1,Men's Masters 45+ B,26980440,PEGS Sporting Fields,PSF1,PEGS,MHSOB,0,1,Away Win,12,12,
